,Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Organization Name Modified,id,name modified,url,stagename_x,stagename_y,Analise descarte,Classification,Time Since Announced
0,Sipremo,https://www.crunchbase.com/organization/sipremo,Non Equity Assistance - Sipremo,https://www.crunchbase.com/funding_round/sipremo-non-equity-assistance--204987db,,,,Non-equity Assistance,"Artificial Intelligence (AI), Electrical Distribution, Environmental Engineering, Forestry, Insurance, InsurTech, Machine Learning, Predictive Analytics, Sports",2024-07-31,,AcceliCITY powered by Leading Cities,,,,,,,,No,Sipremo does natural disaster prediction and monitoring helping people and business to predict the future and ensure your present,,sipremo.com,,,1,"São Paulo, Sao Paulo, Brazil, South America",2024,sipremo,11024.0,sipremo,sipremo.com,Discard,,Indefinido,Indefinido,0
1,20APY,https://www.crunchbase.com/organization/20apy,Non Equity Assistance - 20APY,https://www.crunchbase.com/funding_round/20apy-non-equity-assistance--be007db2,30000.0,USD,30000.0,Non-equity Assistance,"Blockchain, Credit, Cryptocurrency, Financial Services, FinTech, Payments, Personal Finance, Smart Contracts, Web3",2024-07-25,,Google for Startups,,25000.0,USD,25000.0,,,,No,"High-yield investments, zero-interest credit.",,20apy.com,,,2,"São Paulo, Sao Paulo, Brazil, South America",2024,20apy,,,,Nao tivemos acesso,,,Nao tivemos acesso,6
2,Winnin,https://www.crunchbase.com/organization/winnin,Series A - Winnin,https://www.crunchbase.com/funding_round/winnin-series-a--bc37a95d,8000000.0,USD,8000000.0,Series A,"Content Creators, Digital Entertainment, Media and Entertainment, Video",2024-07-23,"Alexia Ventures, Kaszek","Alexia Ventures, Kaszek",Early Stage Venture,,,,,,,Yes,Empowering Creative Minds With Data Science,,winnin.com,$10M to $50M,Early Stage Venture,5,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2024,winnin,,,,Nao tivemos acesso,,,Nao tivemos acesso,8
3,Ribon,https://www.crunchbase.com/organization/ribon,Grant - Ribon,https://www.crunchbase.com/funding_round/ribon-grant--b0997410,4424430.0,USD,4424430.0,Grant,"Apps, Blockchain, Charity, Financial Services, FinTech, Information Technology, Non Profit, Service Industry, Social Impact",2024-07-23,Blackbaud’s Social Good Startup Accelerator,Blackbaud’s Social Good Startup Accelerator,,,,,,,,No,Ribon uses donations to generate new donors,,ribon.io,Less than $1M,Seed,6,"Brasil, Sao Paulo, Brazil, South America",2024,ribon,2393.0,ribon,ribon.io,Discard,Discard,,Indefinido,8
4,NetLex,https://www.crunchbase.com/organization/netlex-a715,Series B - NetLex,https://www.crunchbase.com/funding_round/netlex-a715-series-b--a77428ef,126000000.0,BRL,23221526.0,Series B,"Business Intelligence, Data Storage, Document Management",2024-07-17,Riverwood Capital,Riverwood Capital,Early Stage Venture,126000000.0,BRL,23221526.0,,,,Yes,NetLex is an integrated platform to make deals simple and secure.,,netlex.io,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2024,netlex,1669.0,netlex,netlex.com.br,Discard,Discard,Não tivemos acesso,Nao tivemos acesso,14
5,CTA Smart,https://www.crunchbase.com/organization/cta-smart,Venture Round - CTA Smart,https://www.crunchbase.com/funding_round/cta-smart-series-unknown--9394e969,16000000.0,BRL,2914815.0,Venture - Series Unknown,"Industrial, Machinery Manufacturing, Manufacturing",2024-07-17,Invisto,"Indicator Capital, Invisto",,16000000.0,BRL,2914815.0,,,,Yes,CTA Plus manufactures and sells measuring instruments and offers automation solutions for internal supply for fleets.,,site.ctasmart.com.br,$1M to $10M,,1,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2024,ctasmart,3564.0,ctasmart,ctasmart.com.br,Discard,,Verdadeiro Negativo,Verdadeiro Negativo,14
6,Sua Música,https://www.crunchbase.com/organization/sua-música,Corporate Round - Sua Música,https://www.crunchbase.com/funding_round/sua-música-corporate-round--3299f9bf,,,,Corporate Round,"Content, Digital Entertainment, Music",2024-07-17,ADA,ADA,,,,,,,,Yes,Sua Música is an entertainment platform focused on regional music in Brazil.,,suamusica.com.br,,,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2024,suamúsica,8464.0,suamúsica,,Fazer Teste de Aderência,,,Nao tivemos acesso,14
7,Meu Pescado,https://www.crunchbase.com/organization/meu-pescado,Seed Round - Meu Pescado,https://www.crunchbase.com/funding_round/meu-pescado-seed--1e60c3d6,2000000.0,BRL,364352.0,Seed,"AgTech, Farming",2024-07-17,"Aimorés Investments, Incubate Fund","Aimorés Investments, Incubate Fund",Seed,2000000.0,BRL,364352.0,,,,Yes,Meu Pescado offers aquaculture management services.,,meupescado.com.br,,Seed,2,"Florianópolis, Santa Catarina, Brazil, South America",2024,meupescado,23841.0,meupescado,meupescado.com.br,Discard,Discard,,Indefinido,14
8,Vammo,https://www.crunchbase.com/organization/leoparda-electric,Venture Round - Vammo,https://www.crunchbase.com/funding_round/leoparda-electric-series-unknown--d190edbc,44005799.0,USD,44005799.0,Venture - Series Unknown,"Automotive, Battery, Manufacturing",2024-07-16,EXT Capital,EXT Capital,,30000000.0,BRL,5505799.0,,,,Yes,"Vammo, formerly Leoparda Electric, is a company that manufactures electric motorcycles.",,vammo.com,,,4,"São Paulo, Sao Paulo, Brazil, South America",2024,vammo,,,,Nao tivemos acesso,,,Nao tivemos acesso,15
9,Vammo,https://www.crunchbase.com/organization/leoparda-electric,Debt Financing - Vammo,https://www.crunchbase.com/funding_round/leoparda-electric-debt-financing--3d4b27ae,44005799.0,USD,44005799.0,Debt Financing,"Automotive, Battery, Manufacturing",2024-07-16,,,,,,,,,,No,"Vammo, formerly Leoparda Electric, is a company that manufactures electric motorcycles.",,vammo.com,,,4,"São Paulo, Sao Paulo, Brazil, South America",2024,vammo,,,,Nao tivemos acesso,,,Nao tivemos acesso,15
